"","x"
"42","http://bbc.com/news/politics/constituencies/N06000001"
"43","http://bbc.com/news/politics/constituencies/N06000002"
"44","http://bbc.com/news/politics/constituencies/N06000003"
"45","http://bbc.com/news/politics/constituencies/N06000004"
"46","http://bbc.com/news/politics/constituencies/E14000553"
"47","http://bbc.com/news/politics/constituencies/E14000554"
"48","http://bbc.com/news/politics/constituencies/S14000008"
"49","http://bbc.com/news/politics/constituencies/E14000555"
"50","http://bbc.com/news/politics/constituencies/E14000556"
"51","http://bbc.com/news/politics/constituencies/E14000557"
"52","http://bbc.com/news/politics/constituencies/E14000558"
"53","http://bbc.com/news/politics/constituencies/E14000559"
"54","http://bbc.com/news/politics/constituencies/E14000560"
"55","http://bbc.com/news/politics/constituencies/E14000561"
"56","http://bbc.com/news/politics/constituencies/E14000562"
"57","http://bbc.com/news/politics/constituencies/E14000563"
"58","http://bbc.com/news/politics/constituencies/E14000564"
"59","http://bbc.com/news/politics/constituencies/E14000565"
"60","http://bbc.com/news/politics/constituencies/E14000566"
"61","http://bbc.com/news/politics/constituencies/E14000567"
"62","http://bbc.com/news/politics/constituencies/E14000568"
"63","http://bbc.com/news/politics/constituencies/E14000569"
"64","http://bbc.com/news/politics/constituencies/E14000570"
"65","http://bbc.com/news/politics/constituencies/E14000571"
"66","http://bbc.com/news/politics/constituencies/E14000572"
"67","http://bbc.com/news/politics/constituencies/E14000573"
"68","http://bbc.com/news/politics/constituencies/W07000072"
"69","http://bbc.com/news/politics/constituencies/E14000574"
"70","http://bbc.com/news/politics/constituencies/E14000575"
"71","http://bbc.com/news/politics/constituencies/E14000576"
"72","http://bbc.com/news/politics/constituencies/E14000577"
"73","http://bbc.com/news/politics/constituencies/E14000578"
"74","http://bbc.com/news/politics/constituencies/E14000579"
"75","http://bbc.com/news/politics/constituencies/E14000580"
"76","http://bbc.com/news/politics/constituencies/E14000581"
"77","http://bbc.com/news/politics/constituencies/E14000582"
"78","http://bbc.com/news/politics/constituencies/E14000583"
"79","http://bbc.com/news/politics/constituencies/E14000584"
"80","http://bbc.com/news/politics/constituencies/E14000585"
"81","http://bbc.com/news/politics/constituencies/E14000586"
"82","http://bbc.com/news/politics/constituencies/E14000587"
"83","http://bbc.com/news/politics/constituencies/E14000588"
"84","http://bbc.com/news/politics/constituencies/E14000589"
"85","http://bbc.com/news/politics/constituencies/E14000590"
"86","http://bbc.com/news/politics/constituencies/W07000068"
"87","http://bbc.com/news/politics/constituencies/E14000591"
"88","http://bbc.com/news/politics/constituencies/E14000592"
"89","http://bbc.com/news/politics/constituencies/E14000593"
"90","http://bbc.com/news/politics/constituencies/E14000594"
"91","http://bbc.com/news/politics/constituencies/W07000073"
"92","http://bbc.com/news/politics/constituencies/E14000595"
"93","http://bbc.com/news/politics/constituencies/E14000596"
"94","http://bbc.com/news/politics/constituencies/E14000597"
"95","http://bbc.com/news/politics/constituencies/E14000598"
"96","http://bbc.com/news/politics/constituencies/E14000599"
"97","http://bbc.com/news/politics/constituencies/E14000600"
"98","http://bbc.com/news/politics/constituencies/E14000601"
"99","http://bbc.com/news/politics/constituencies/E14000602"
"100","http://bbc.com/news/politics/constituencies/E14000603"
"101","http://bbc.com/news/politics/constituencies/E14000604"
"102","http://bbc.com/news/politics/constituencies/E14000605"
"103","http://bbc.com/news/politics/constituencies/E14000606"
"104","http://bbc.com/news/politics/constituencies/E14000607"
"105","http://bbc.com/news/politics/constituencies/E14000608"
"106","http://bbc.com/news/politics/constituencies/E14000609"
"107","http://bbc.com/news/politics/constituencies/E14000610"
"108","http://bbc.com/news/politics/constituencies/E14000611"
"109","http://bbc.com/news/politics/constituencies/E14000612"
"110","http://bbc.com/news/politics/constituencies/E14000613"
"111","http://bbc.com/news/politics/constituencies/W07000076"
"112","http://bbc.com/news/politics/constituencies/S14000009"
"113","http://bbc.com/news/politics/constituencies/E14000614"
"114","http://bbc.com/news/politics/constituencies/E14000615"
"115","http://bbc.com/news/politics/constituencies/E14000616"
"116","http://bbc.com/news/politics/constituencies/E14000617"
"117","http://bbc.com/news/politics/constituencies/E14000842"
"118","http://bbc.com/news/politics/constituencies/E14000855"
"119","http://bbc.com/news/politics/constituencies/E14000934"
"120","http://bbc.com/news/politics/constituencies/E14000937"
"121","http://bbc.com/news/politics/constituencies/E14000618"
"122","http://bbc.com/news/politics/constituencies/E14000619"
"123","http://bbc.com/news/politics/constituencies/W07000050"
"124","http://bbc.com/news/politics/constituencies/W07000051"
"125","http://bbc.com/news/politics/constituencies/W07000080"
"126","http://bbc.com/news/politics/constituencies/W07000079"
"127","http://bbc.com/news/politics/constituencies/E14000620"
"128","http://bbc.com/news/politics/constituencies/W07000067"
"129","http://bbc.com/news/politics/constituencies/W07000066"
"130","http://bbc.com/news/politics/constituencies/E14000621"
"131","http://bbc.com/news/politics/constituencies/E14000622"
"132","http://bbc.com/news/politics/constituencies/W07000064"
"133","http://bbc.com/news/politics/constituencies/E14000625"
"134","http://bbc.com/news/politics/constituencies/E14000626"
"135","http://bbc.com/news/politics/constituencies/E14000627"
"136","http://bbc.com/news/politics/constituencies/E14000628"
"137","http://bbc.com/news/politics/constituencies/E14000629"
"138","http://bbc.com/news/politics/constituencies/E14000630"
"139","http://bbc.com/news/politics/constituencies/E14000631"
"140","http://bbc.com/news/politics/constituencies/E14000640"
"141","http://bbc.com/news/politics/constituencies/E14000632"
"142","http://bbc.com/news/politics/constituencies/E14000633"
"143","http://bbc.com/news/politics/constituencies/E14000634"
"144","http://bbc.com/news/politics/constituencies/E14000635"
"145","http://bbc.com/news/politics/constituencies/E14000636"
"146","http://bbc.com/news/politics/constituencies/E14000637"
"147","http://bbc.com/news/politics/constituencies/E14000638"
"148","http://bbc.com/news/politics/constituencies/E14000639"
"149","http://bbc.com/news/politics/constituencies/E14000642"
"150","http://bbc.com/news/politics/constituencies/E14000643"
"151","http://bbc.com/news/politics/constituencies/W07000062"
"152","http://bbc.com/news/politics/constituencies/W07000059"
"153","http://bbc.com/news/politics/constituencies/S14000011"
"154","http://bbc.com/news/politics/constituencies/E14000644"
"155","http://bbc.com/news/politics/constituencies/E14000645"
"156","http://bbc.com/news/politics/constituencies/E14000646"
"157","http://bbc.com/news/politics/constituencies/E14000647"
"158","http://bbc.com/news/politics/constituencies/E14000648"
"159","http://bbc.com/news/politics/constituencies/E14000837"
"160","http://bbc.com/news/politics/constituencies/E14000938"
"161","http://bbc.com/news/politics/constituencies/E14000991"
"162","http://bbc.com/news/politics/constituencies/E14000649"
"163","http://bbc.com/news/politics/constituencies/E14000650"
"164","http://bbc.com/news/politics/constituencies/E14000651"
"165","http://bbc.com/news/politics/constituencies/E14000652"
"166","http://bbc.com/news/politics/constituencies/E14000653"
"167","http://bbc.com/news/politics/constituencies/E14000654"
"168","http://bbc.com/news/politics/constituencies/E14000655"
"169","http://bbc.com/news/politics/constituencies/E14000656"
"170","http://bbc.com/news/politics/constituencies/S14000012"
"171","http://bbc.com/news/politics/constituencies/W07000070"
"172","http://bbc.com/news/politics/constituencies/E14000657"
"173","http://bbc.com/news/politics/constituencies/E14000658"
"174","http://bbc.com/news/politics/constituencies/E14000659"
"175","http://bbc.com/news/politics/constituencies/E14000660"
"176","http://bbc.com/news/politics/constituencies/W07000042"
"177","http://bbc.com/news/politics/constituencies/E14000661"
"178","http://bbc.com/news/politics/constituencies/E14000662"
"179","http://bbc.com/news/politics/constituencies/E14000663"
"180","http://bbc.com/news/politics/constituencies/E14000664"
"181","http://bbc.com/news/politics/constituencies/E14000814"
"182","http://bbc.com/news/politics/constituencies/E14000843"
"183","http://bbc.com/news/politics/constituencies/E14000935"
"184","http://bbc.com/news/politics/constituencies/E14000665"
"185","http://bbc.com/news/politics/constituencies/E14000623"
"186","http://bbc.com/news/politics/constituencies/E14000678"
"187","http://bbc.com/news/politics/constituencies/E14000838"
"188","http://bbc.com/news/politics/constituencies/E14000950"
"189","http://bbc.com/news/politics/constituencies/E14001000"
"190","http://bbc.com/news/politics/constituencies/E14000666"
"191","http://bbc.com/news/politics/constituencies/E14000667"
"192","http://bbc.com/news/politics/constituencies/E14000668"
"193","http://bbc.com/news/politics/constituencies/E14000669"
"194","http://bbc.com/news/politics/constituencies/E14000815"
"195","http://bbc.com/news/politics/constituencies/E14000839"
"196","http://bbc.com/news/politics/constituencies/E14000936"
"197","http://bbc.com/news/politics/constituencies/E14001031"
"198","http://bbc.com/news/politics/constituencies/E14000670"
"199","http://bbc.com/news/politics/constituencies/E14000671"
"200","http://bbc.com/news/politics/constituencies/E14000672"
"201","http://bbc.com/news/politics/constituencies/E14000673"
"202","http://bbc.com/news/politics/constituencies/S14000013"
"203","http://bbc.com/news/politics/constituencies/S14000014"
"204","http://bbc.com/news/politics/constituencies/S14000018"
"205","http://bbc.com/news/politics/constituencies/S14000059"
"206","http://bbc.com/news/politics/constituencies/S14000015"
"207","http://bbc.com/news/politics/constituencies/S14000016"
"208","http://bbc.com/news/politics/constituencies/S14000017"
"209","http://bbc.com/news/politics/constituencies/E14000840"
"210","http://bbc.com/news/politics/constituencies/E14000856"
"211","http://bbc.com/news/politics/constituencies/E14000641"
"212","http://bbc.com/news/politics/constituencies/W07000061"
"213","http://bbc.com/news/politics/constituencies/E14000674"
"214","http://bbc.com/news/politics/constituencies/E14000675"
"215","http://bbc.com/news/politics/constituencies/E14000676"
"216","http://bbc.com/news/politics/constituencies/E14000677"
"217","http://bbc.com/news/politics/constituencies/N06000005"
"218","http://bbc.com/news/politics/constituencies/E14000679"
"219","http://bbc.com/news/politics/constituencies/S14000019"
"220","http://bbc.com/news/politics/constituencies/N06000006"
"221","http://bbc.com/news/politics/constituencies/S14000020"
"222","http://bbc.com/news/politics/constituencies/E14000684"
"223","http://bbc.com/news/politics/constituencies/E14000685"
"224","http://bbc.com/news/politics/constituencies/E14000686"
"225","http://bbc.com/news/politics/constituencies/S14000022"
"226","http://bbc.com/news/politics/constituencies/S14000023"
"227","http://bbc.com/news/politics/constituencies/S14000024"
"228","http://bbc.com/news/politics/constituencies/S14000025"
"229","http://bbc.com/news/politics/constituencies/S14000026"
"230","http://bbc.com/news/politics/constituencies/E14000687"
"231","http://bbc.com/news/politics/constituencies/E14000688"
"232","http://bbc.com/news/politics/constituencies/E14000689"
"233","http://bbc.com/news/politics/constituencies/E14000690"
"234","http://bbc.com/news/politics/constituencies/E14000691"
"235","http://bbc.com/news/politics/constituencies/E14000692"
"236","http://bbc.com/news/politics/constituencies/E14000693"
"237","http://bbc.com/news/politics/constituencies/E14000694"
"238","http://bbc.com/news/politics/constituencies/E14000695"
"239","http://bbc.com/news/politics/constituencies/E14000696"
"240","http://bbc.com/news/politics/constituencies/E14000697"
"241","http://bbc.com/news/politics/constituencies/E14000698"
"242","http://bbc.com/news/politics/constituencies/S14000028"
"243","http://bbc.com/news/politics/constituencies/E14000699"
"244","http://bbc.com/news/politics/constituencies/E14000700"
"245","http://bbc.com/news/politics/constituencies/E14000701"
"246","http://bbc.com/news/politics/constituencies/N06000007"
"247","http://bbc.com/news/politics/constituencies/S14000049"
"248","http://bbc.com/news/politics/constituencies/E14000702"
"249","http://bbc.com/news/politics/constituencies/E14000703"
"250","http://bbc.com/news/politics/constituencies/E14000704"
"251","http://bbc.com/news/politics/constituencies/E14000705"
"252","http://bbc.com/news/politics/constituencies/N06000008"
"253","http://bbc.com/news/politics/constituencies/E14000706"
"254","http://bbc.com/news/politics/constituencies/E14000707"
"255","http://bbc.com/news/politics/constituencies/E14000708"
"256","http://bbc.com/news/politics/constituencies/E14000709"
"257","http://bbc.com/news/politics/constituencies/E14000710"
"258","http://bbc.com/news/politics/constituencies/E14000711"
"259","http://bbc.com/news/politics/constituencies/S14000029"
"260","http://bbc.com/news/politics/constituencies/S14000030"
"261","http://bbc.com/news/politics/constituencies/S14000031"
"262","http://bbc.com/news/politics/constituencies/S14000032"
"263","http://bbc.com/news/politics/constituencies/S14000033"
"264","http://bbc.com/news/politics/constituencies/S14000034"
"265","http://bbc.com/news/politics/constituencies/S14000035"
"266","http://bbc.com/news/politics/constituencies/S14000036"
"267","http://bbc.com/news/politics/constituencies/E14000712"
"268","http://bbc.com/news/politics/constituencies/S14000037"
"269","http://bbc.com/news/politics/constituencies/E14000713"
"270","http://bbc.com/news/politics/constituencies/W07000046"
"271","http://bbc.com/news/politics/constituencies/E14000714"
"272","http://bbc.com/news/politics/constituencies/E14000715"
"273","http://bbc.com/news/politics/constituencies/E14000716"
"274","http://bbc.com/news/politics/constituencies/E14000717"
"275","http://bbc.com/news/politics/constituencies/E14000718"
"276","http://bbc.com/news/politics/constituencies/E14000719"
"277","http://bbc.com/news/politics/constituencies/E14000720"
"278","http://bbc.com/news/politics/constituencies/E14000721"
"279","http://bbc.com/news/politics/constituencies/E14000722"
"280","http://bbc.com/news/politics/constituencies/E14000723"
"281","http://bbc.com/news/politics/constituencies/E14000724"
"282","http://bbc.com/news/politics/constituencies/E14000725"
"283","http://bbc.com/news/politics/constituencies/E14000726"
"284","http://bbc.com/news/politics/constituencies/E14000680"
"285","http://bbc.com/news/politics/constituencies/E14000844"
"286","http://bbc.com/news/politics/constituencies/E14000857"
"287","http://bbc.com/news/politics/constituencies/E14000727"
"288","http://bbc.com/news/politics/constituencies/E14000728"
"289","http://bbc.com/news/politics/constituencies/E14000729"
"290","http://bbc.com/news/politics/constituencies/E14000730"
"291","http://bbc.com/news/politics/constituencies/E14000731"
"292","http://bbc.com/news/politics/constituencies/E14000732"
"293","http://bbc.com/news/politics/constituencies/E14000733"
"294","http://bbc.com/news/politics/constituencies/E14000734"
"295","http://bbc.com/news/politics/constituencies/E14000735"
"296","http://bbc.com/news/politics/constituencies/E14000736"
"297","http://bbc.com/news/politics/constituencies/E14000737"
"298","http://bbc.com/news/politics/constituencies/E14000738"
"299","http://bbc.com/news/politics/constituencies/E14000739"
"300","http://bbc.com/news/politics/constituencies/E14000740"
"301","http://bbc.com/news/politics/constituencies/E14000741"
"302","http://bbc.com/news/politics/constituencies/E14000742"
"303","http://bbc.com/news/politics/constituencies/E14000743"
"304","http://bbc.com/news/politics/constituencies/E14000847"
"305","http://bbc.com/news/politics/constituencies/E14000744"
"306","http://bbc.com/news/politics/constituencies/E14000845"
"307","http://bbc.com/news/politics/constituencies/E14000951"
"308","http://bbc.com/news/politics/constituencies/E14000745"
"309","http://bbc.com/news/politics/constituencies/E14000746"
"310","http://bbc.com/news/politics/constituencies/E14000747"
"311","http://bbc.com/news/politics/constituencies/E14000748"
"312","http://bbc.com/news/politics/constituencies/E14000749"
"313","http://bbc.com/news/politics/constituencies/E14000750"
"314","http://bbc.com/news/politics/constituencies/E14000751"
"315","http://bbc.com/news/politics/constituencies/E14000752"
"316","http://bbc.com/news/politics/constituencies/E14000753"
"317","http://bbc.com/news/politics/constituencies/E14000754"
"318","http://bbc.com/news/politics/constituencies/E14000755"
"319","http://bbc.com/news/politics/constituencies/E14000756"
"320","http://bbc.com/news/politics/constituencies/E14000771"
"321","http://bbc.com/news/politics/constituencies/E14000772"
"322","http://bbc.com/news/politics/constituencies/E14000773"
"323","http://bbc.com/news/politics/constituencies/E14000757"
"324","http://bbc.com/news/politics/constituencies/E14000758"
"325","http://bbc.com/news/politics/constituencies/E14000759"
"326","http://bbc.com/news/politics/constituencies/E14000760"
"327","http://bbc.com/news/politics/constituencies/S14000038"
"328","http://bbc.com/news/politics/constituencies/S14000039"
"329","http://bbc.com/news/politics/constituencies/E14000761"
"330","http://bbc.com/news/politics/constituencies/E14000762"
"331","http://bbc.com/news/politics/constituencies/E14000763"
"332","http://bbc.com/news/politics/constituencies/E14000764"
"333","http://bbc.com/news/politics/constituencies/W07000077"
"334","http://bbc.com/news/politics/constituencies/E14000765"
"335","http://bbc.com/news/politics/constituencies/E14000766"
"336","http://bbc.com/news/politics/constituencies/E14000767"
"337","http://bbc.com/news/politics/constituencies/E14000768"
"338","http://bbc.com/news/politics/constituencies/E14000769"
"339","http://bbc.com/news/politics/constituencies/S14000040"
"340","http://bbc.com/news/politics/constituencies/E14000770"
"341","http://bbc.com/news/politics/constituencies/E14000774"
"342","http://bbc.com/news/politics/constituencies/S14000041"
"343","http://bbc.com/news/politics/constituencies/E14000775"
"344","http://bbc.com/news/politics/constituencies/N06000009"
"345","http://bbc.com/news/politics/constituencies/S14000042"
"346","http://bbc.com/news/politics/constituencies/E14001033"
"347","http://bbc.com/news/politics/constituencies/E14000776"
"348","http://bbc.com/news/politics/constituencies/E14000777"
"349","http://bbc.com/news/politics/constituencies/E14000778"
"350","http://bbc.com/news/politics/constituencies/E14000779"
"351","http://bbc.com/news/politics/constituencies/E14000780"
"352","http://bbc.com/news/politics/constituencies/E14000781"
"353","http://bbc.com/news/politics/constituencies/E14000782"
"354","http://bbc.com/news/politics/constituencies/E14000783"
"355","http://bbc.com/news/politics/constituencies/E14000784"
"356","http://bbc.com/news/politics/constituencies/E14000858"
"357","http://bbc.com/news/politics/constituencies/E14000940"
"358","http://bbc.com/news/politics/constituencies/E14000785"
"359","http://bbc.com/news/politics/constituencies/E14000786"
"360","http://bbc.com/news/politics/constituencies/E14000789"
"361","http://bbc.com/news/politics/constituencies/E14000787"
"362","http://bbc.com/news/politics/constituencies/E14000788"
"363","http://bbc.com/news/politics/constituencies/E14000790"
"364","http://bbc.com/news/politics/constituencies/E14000791"
"365","http://bbc.com/news/politics/constituencies/E14000792"
"366","http://bbc.com/news/politics/constituencies/S14000043"
"367","http://bbc.com/news/politics/constituencies/E14000793"
"368","http://bbc.com/news/politics/constituencies/E14000794"
"369","http://bbc.com/news/politics/constituencies/E14000795"
"370","http://bbc.com/news/politics/constituencies/E14000796"
"371","http://bbc.com/news/politics/constituencies/S14000044"
"372","http://bbc.com/news/politics/constituencies/W07000045"
"373","http://bbc.com/news/politics/constituencies/E14000797"
"374","http://bbc.com/news/politics/constituencies/E14000798"
"375","http://bbc.com/news/politics/constituencies/E14000799"
"376","http://bbc.com/news/politics/constituencies/E14000800"
"377","http://bbc.com/news/politics/constituencies/E14000801"
"378","http://bbc.com/news/politics/constituencies/E14000802"
"379","http://bbc.com/news/politics/constituencies/E14000803"
"380","http://bbc.com/news/politics/constituencies/E14000804"
"381","http://bbc.com/news/politics/constituencies/E14000805"
"382","http://bbc.com/news/politics/constituencies/E14000806"
"383","http://bbc.com/news/politics/constituencies/E14000807"
"384","http://bbc.com/news/politics/constituencies/E14000808"
"385","http://bbc.com/news/politics/constituencies/E14000809"
"386","http://bbc.com/news/politics/constituencies/E14000810"
"387","http://bbc.com/news/politics/constituencies/E14000811"
"388","http://bbc.com/news/politics/constituencies/E14000812"
"389","http://bbc.com/news/politics/constituencies/W07000071"
"390","http://bbc.com/news/politics/constituencies/N06000010"
"391","http://bbc.com/news/politics/constituencies/E14000819"
"392","http://bbc.com/news/politics/constituencies/E14000820"
"393","http://bbc.com/news/politics/constituencies/S14000045"
"394","http://bbc.com/news/politics/constituencies/E14000821"
"395","http://bbc.com/news/politics/constituencies/E14000822"
"396","http://bbc.com/news/politics/constituencies/E14000823"
"397","http://bbc.com/news/politics/constituencies/E14000824"
"398","http://bbc.com/news/politics/constituencies/W07000054"
"399","http://bbc.com/news/politics/constituencies/W07000063"
"400","http://bbc.com/news/politics/constituencies/S14000046"
"401","http://bbc.com/news/politics/constituencies/E14000825"
"402","http://bbc.com/news/politics/constituencies/E14000826"
"403","http://bbc.com/news/politics/constituencies/S14000047"
"404","http://bbc.com/news/politics/constituencies/S14000027"
"405","http://bbc.com/news/politics/constituencies/W07000069"
"406","http://bbc.com/news/politics/constituencies/E14000827"
"407","http://bbc.com/news/politics/constituencies/E14000828"
"408","http://bbc.com/news/politics/constituencies/E14000829"
"409","http://bbc.com/news/politics/constituencies/E14000830"
"410","http://bbc.com/news/politics/constituencies/E14000831"
"411","http://bbc.com/news/politics/constituencies/E14000832"
"412","http://bbc.com/news/politics/constituencies/E14000833"
"413","http://bbc.com/news/politics/constituencies/E14000834"
"414","http://bbc.com/news/politics/constituencies/W07000055"
"415","http://bbc.com/news/politics/constituencies/W07000056"
"416","http://bbc.com/news/politics/constituencies/N06000011"
"417","http://bbc.com/news/politics/constituencies/E14000835"
"418","http://bbc.com/news/politics/constituencies/E14000816"
"419","http://bbc.com/news/politics/constituencies/E14000848"
"420","http://bbc.com/news/politics/constituencies/E14000859"
"421","http://bbc.com/news/politics/constituencies/E14000941"
"422","http://bbc.com/news/politics/constituencies/E14000952"
"423","http://bbc.com/news/politics/constituencies/E14000836"
"424","http://bbc.com/news/politics/constituencies/N06000012"
"425","http://bbc.com/news/politics/constituencies/N06000013"
"426","http://bbc.com/news/politics/constituencies/E14000861"
"427","http://bbc.com/news/politics/constituencies/E14000862"
"428","http://bbc.com/news/politics/constituencies/E14000942"
"429","http://bbc.com/news/politics/constituencies/E14000863"
"430","http://bbc.com/news/politics/constituencies/E14000864"
"431","http://bbc.com/news/politics/constituencies/E14000865"
"432","http://bbc.com/news/politics/constituencies/E14000866"
"433","http://bbc.com/news/politics/constituencies/E14000867"
"434","http://bbc.com/news/politics/constituencies/E14000868"
"435","http://bbc.com/news/politics/constituencies/S14000050"
"436","http://bbc.com/news/politics/constituencies/W07000074"
"437","http://bbc.com/news/politics/constituencies/E14000869"
"438","http://bbc.com/news/politics/constituencies/E14000870"
"439","http://bbc.com/news/politics/constituencies/E14000871"
"440","http://bbc.com/news/politics/constituencies/S14000051"
"441","http://bbc.com/news/politics/constituencies/E14000872"
"442","http://bbc.com/news/politics/constituencies/E14000873"
"443","http://bbc.com/news/politics/constituencies/E14000874"
"444","http://bbc.com/news/politics/constituencies/S14000052"
"445","http://bbc.com/news/politics/constituencies/S14000053"
"446","http://bbc.com/news/politics/constituencies/E14000875"
"447","http://bbc.com/news/politics/constituencies/E14000876"
"448","http://bbc.com/news/politics/constituencies/E14000877"
"449","http://bbc.com/news/politics/constituencies/S14000054"
"450","http://bbc.com/news/politics/constituencies/E14000878"
"451","http://bbc.com/news/politics/constituencies/E14000879"
"452","http://bbc.com/news/politics/constituencies/E14000880"
"453","http://bbc.com/news/politics/constituencies/W07000075"
"454","http://bbc.com/news/politics/constituencies/E14000881"
"455","http://bbc.com/news/politics/constituencies/E14000882"
"456","http://bbc.com/news/politics/constituencies/E14000883"
"457","http://bbc.com/news/politics/constituencies/E14000884"
"458","http://bbc.com/news/politics/constituencies/W07000065"
"459","http://bbc.com/news/politics/constituencies/E14000885"
"460","http://bbc.com/news/politics/constituencies/E14000886"
"461","http://bbc.com/news/politics/constituencies/E14000887"
"462","http://bbc.com/news/politics/constituencies/E14000888"
"463","http://bbc.com/news/politics/constituencies/E14000889"
"464","http://bbc.com/news/politics/constituencies/E14000890"
"465","http://bbc.com/news/politics/constituencies/E14000891"
"466","http://bbc.com/news/politics/constituencies/E14000892"
"467","http://bbc.com/news/politics/constituencies/E14000893"
"468","http://bbc.com/news/politics/constituencies/S14000021"
"469","http://bbc.com/news/politics/constituencies/W07000052"
"470","http://bbc.com/news/politics/constituencies/E14000894"
"471","http://bbc.com/news/politics/constituencies/E14000895"
"472","http://bbc.com/news/politics/constituencies/E14000896"
"473","http://bbc.com/news/politics/constituencies/E14000897"
"474","http://bbc.com/news/politics/constituencies/E14000898"
"475","http://bbc.com/news/politics/constituencies/E14000899"
"476","http://bbc.com/news/politics/constituencies/E14000900"
"477","http://bbc.com/news/politics/constituencies/E14000901"
"478","http://bbc.com/news/politics/constituencies/S14000055"
"479","http://bbc.com/news/politics/constituencies/E14000902"
"480","http://bbc.com/news/politics/constituencies/E14000903"
"481","http://bbc.com/news/politics/constituencies/E14000904"
"482","http://bbc.com/news/politics/constituencies/E14000905"
"483","http://bbc.com/news/politics/constituencies/E14000906"
"484","http://bbc.com/news/politics/constituencies/E14000907"
"485","http://bbc.com/news/politics/constituencies/E14000908"
"486","http://bbc.com/news/politics/constituencies/S14000056"
"487","http://bbc.com/news/politics/constituencies/E14000909"
"488","http://bbc.com/news/politics/constituencies/E14000910"
"489","http://bbc.com/news/politics/constituencies/E14000911"
"490","http://bbc.com/news/politics/constituencies/E14000912"
"491","http://bbc.com/news/politics/constituencies/E14000913"
"492","http://bbc.com/news/politics/constituencies/E14000914"
"493","http://bbc.com/news/politics/constituencies/E14000915"
"494","http://bbc.com/news/politics/constituencies/E14000916"
"495","http://bbc.com/news/politics/constituencies/E14000917"
"496","http://bbc.com/news/politics/constituencies/E14000918"
"497","http://bbc.com/news/politics/constituencies/E14000921"
"498","http://bbc.com/news/politics/constituencies/E14000919"
"499","http://bbc.com/news/politics/constituencies/E14000922"
"500","http://bbc.com/news/politics/constituencies/E14000923"
"501","http://bbc.com/news/politics/constituencies/E14000920"
"502","http://bbc.com/news/politics/constituencies/E14000924"
"503","http://bbc.com/news/politics/constituencies/E14000925"
"504","http://bbc.com/news/politics/constituencies/E14000926"
"505","http://bbc.com/news/politics/constituencies/E14000849"
"506","http://bbc.com/news/politics/constituencies/E14000927"
"507","http://bbc.com/news/politics/constituencies/E14000928"
"508","http://bbc.com/news/politics/constituencies/E14000929"
"509","http://bbc.com/news/politics/constituencies/E14000930"
"510","http://bbc.com/news/politics/constituencies/E14000931"
"511","http://bbc.com/news/politics/constituencies/E14000850"
"512","http://bbc.com/news/politics/constituencies/E14000846"
"513","http://bbc.com/news/politics/constituencies/E14000932"
"514","http://bbc.com/news/politics/constituencies/N06000014"
"515","http://bbc.com/news/politics/constituencies/N06000015"
"516","http://bbc.com/news/politics/constituencies/E14000939"
"517","http://bbc.com/news/politics/constituencies/E14000943"
"518","http://bbc.com/news/politics/constituencies/E14000944"
